Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Masison Marc Cornichons,Retail,Retail Food,18,4,0,0,0,18,72,72,,0.04
Matcha -Berry,Coffee,Body by Brad,8,15,0,0,0,8,120,120,,0.07
Matcha Latte,Beverage,Coffee,8,37,0,0,0,6,222,222,,0.12
Matcha Latte,Coffee,Coffee,8,749,0,0,112,7.7,5880,5768,,3.14
Matcha Powder Holy City,Retail,Retail Food,28,3,0,0,0,28,84,84,,0.05
Matchbox Ornament,Retail,Christmas,16,11,0,0,19.2,14.25,176,156.8,,0.09
Meatloaf 2,Food,Frozen,28,18,0,0,0,28,504,504,,0.27
Meatloaf with Brussels,Food,Frozen,36,23,0,0,18,35.22,828,810,,0.44
Mercado Famous Jamon Serrania,Retail,Retail Food,22,6,0,0,0,22,132,132,,0.07
Merci - Isatopia Card,Retail,Retail Merch,7,3,0,0,0,7,21,21,,0.01
Merci La Vie Cabernet Franc,Wine,PM Wine,38,5,0,0,0,38,190,190,,0.1
Merci t-shirt,Retail,PM Merchandise,38,11,0,0,72,39.64,508,436,,0.24
Merry Christmas Card,Retail,Christmas,4,5,0,0,0,4.2,21,21,,0.01
Mexican Cola Maine Root Soda,Beverage,NA Beverage,3,4,0,0,0.3,2.93,12,11.7,,0.01
MIELI THUN HONEYSUCKLE HONEY,Retail,Retail Food,24,1,0,0,0,24,24,24,,0.01
Mini Card - Lady Fingers,Retail,Retail Food,3,4,0,0,1.5,2.63,12,10.5,,0.01
Mini Sockerbit Flowers and bunnies,Food,Retail Food,5,13,0,0,0,5,65,65,,0.04
Mini Sockerbit Flowers and bunnies,Retail,Retail Food,5,19,0,0,9.8,13.48,266,256.2,,0.14
Mini Strawberry sockerbit,Retail,Retail Food,5,45,0,0,0,4.1,184.5,184.5,,0.1
Mitica Flatbread,Retail,Retail Food,15,1,0,0,0,15,15,15,,0.01
Monte Rio Cellars Zinfandel,Wine,PM Wine,32,6,0,0,64,21.33,192,128,,0.07
Moonstruck Black Cat Bar Dark Chocolate,Food,Fall,8,7,0,0,4.8,7.31,56,51.2,,0.03
Moonstruck Love Spell Bar Milk Chocolate,Food,Fall,8,8,0,0,0,8,64,64,,0.03
More Is More- Get Loose in the Kitchen- a Cookbook by Molly Baz,Retail,Retail Merch,35,2,0,0,17.5,26.25,70,52.5,,0.03
moutarde - cognac,Retail,Retail Food,24,2,0,0,0,24,48,48,,0.03
Muffin,Food,Bakery,5,655,0,0,21.75,4.97,3275,3253.25,,1.77
Muffin Top,Food,Body by Brad,5,6,0,0,0,5,30,30,,0.02
Mummy Surprize Ball,Retail,Retail Merch,15,11,0,0,0,15,165,165,,0.09
"MY DRAP LINEN Napkins, Natural, 50 Units",Retail,Retail Merch,28,1,0,0,0,28,28,28,,0.02
MY DRAP - SMALL NAPKIN ROLL DARK GREY,Retail,Retail Merch,20,5,0,0,0,20,100,100,,0.05
NAPKINS - FLOWERS,Retail,Retail Merch,44,1,0,0,0,44,44,44,,0.02
Narupa Caneco Albarino Val Do Salnes Rias Baixas,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.02
Night Chocolates Maeve,Retail,Valentine,14,7,0,0,0,14,98,98,,0.05
Notelet Archivist card,Retail,Retail Merch,5,19,0,0,0,5,95,95,,0.05
Nutcracker Ornament,Retail,Christmas,28,2,0,0,0,28,56,56,,0.03
OG Legally Addictive,Retail,Retail Food,9,16,0,0,0.9,9.57,154,153.1,,0.08
Olive Tapenade,Food,Dips,10,12,0,0,0,10,120,120,,0.07
One Trick Pony Crunchy Peanut Butter,Retail,Retail Food,11,31,0,0,24.75,10.2,341,316.25,,0.17
One Trick Pony - HONEY CRUNCH Peanut Butter,Retail,Retail Food,12,21,0,0,16.8,11.2,252,235.2,,0.13
one trick pony - popcorn,Retail,Retail Food,8,10,0,0,0,8,80,80,,0.04
One Trick Pony - Silky SMOOTH Natural Peanut Butter,Retail,Retail Food,11,37,0,0,14.3,10.78,413,398.7,,0.22
Open Beer,Beer,Open Items,0,14,0,0,11.3,18.55,271,259.7,,0.14
Open Beverage,Beverage,Open Items,0,43,0,0,11.8,9.26,410.01,398.21,,0.22
Open buyout,Non-taxable,Open Items,0,2,0,0,0,2375,4750,4750,,2.59
Open Food,Food,Open Items,0,350,0,0,47.6,16.36,5773.04,5725.44,,3.12
Open Retail,Retail,Open Items,0,266,0,0,290.95,17.9,5051.82,4760.87,,2.59
Open Wine,Wine,Open Items,0,70,0,0,84.6,31.69,2303,2218.4,,1.21
Orange Juice,Beverage,NA Beverage,8,8,0,0,0,8,64,64,,0.03
Orange Juice,Retail,NA Beverage,8,31,0,0,0,8,248,248,,0.14
Orange Surprise Ball,Retail,Christmas,14,21,0,0,0,14,294,294,,0.16
Oyster Cocktail Napkins,Retail,Retail Merch,52,2,0,0,0,34,68,68,,0.04
Oyster Ornaments,Retail,Christmas,16,2,0,0,0,16,32,32,,0.02
Palette Card,Retail,Retail Merch,6,2,0,0,0,6,12,12,,0.01
Paolo Scavino Vino Rosso,Wine,PM Wine,40,6,0,0,20,36.67,240,220,,0.12
Passerine Brut Blanca,Wine,PM Wine,30,17,0,0,0,30,510,510,,0.28
Pasta Salad,Food,Retail Food,10,7,0,0,1,9.86,70,69,,0.04
Peach Soda,Beverage,NA Beverage,3,8,0,0,0,3,24,24,,0.01
Peach Syrup,Beverage,Unassigned,2,12,0,0,0,2,24,24,,0.01
Peach Syrup,Coffee,Unassigned,2,101,0,0,3.8,1.96,202,198.2,,0.11
Peanut Butter Banana Bar Maeve,Retail,Valentine,7.5,12,0,0,0,7.5,90,90,,0.05
Pecans Milk Chocolate Covered Zorro,Retail,Retail Food,19,8,0,0,0,19,152,152,,0.08
Pecans Roasted and Salted Zorro,Retail,Retail Food,19,12,0,0,0,19,228,228,,0.12
Pecans Toffee Zorro,Retail,Retail Food,19,6,0,0,0,19,114,114,,0.06
Peches Soda,Beverage,NA Beverage,3,16,0,0,0.3,2.98,48,47.7,,0.03
Peppermint Logs,Retail,Christmas,5,18,0,0,2.5,4.86,90,87.5,,0.05
Peppermint Pad - Maeve,Retail,Christmas,14,2,0,0,0,14,28,28,,0.02
Petit Ours Rosé,Wine,PM Wine,32,4,0,0,0,33,132,132,,0.07
Piecework - Birthday Cocktail Napkins,Retail,Retail Merch,44,2,0,0,0,44,88,88,,0.05
Piecework - Pie Cocktail Napkins,Retail,Retail Merch,44,3,0,0,0,44,132,132,,0.07
Pimento Cheese,Food,Dips,14,30,0,0,8.4,13.65,418,409.6,,0.22
Pine Tree - Ranger Station,Retail,Christmas,40,2,0,0,0,40,80,80,,0.04
Pizza Camp,Retail,Retail Merch,32.5,1,0,0,0,32.5,32.5,32.5,,0.02
Pizza Kit,Food,Bakery,18,2,0,0,0,18,36,36,,0.02
Placecards Hester & Cook,Retail,Retail Merch,12,16,0,0,3.6,11.78,192,188.4,,0.1
Placemats Gingerbread,Retail,Christmas,33,3,0,0,3.3,31.9,99,95.7,,0.05
Playing Cards,Retail,Retail Merch,15,4,0,0,0,15,60,60,,0.03
Pm Bumper Sticker,Retail,PM Merchandise,5,8,0,0,0,5,40,40,,0.02
PM Sweatshirt,Retail,PM Merchandise,58,7,0,0,113.6,54.77,497,383.4,,0.21
Pm tumbler,Retail,PM Merchandise,40,19,0,0,60,36.84,760,700,,0.38
Poggio Anima Montepulciano D'Abruzzo,Wine,PM Wine,22,2,0,0,0,22,44,44,,0.02
POMMERY MUSTARD,Retail,Retail Food,25,4,0,0,0,24.75,99,99,,0.05
Pommery Mustard w Cognac,Retail,Retail Merch,24,3,0,0,0,24,72,72,,0.04
Pop-Chips Truffle,Retail,Retail Food,8,4,0,0,4,7,32,28,,0.02
Pop-Corn Truffle,Retail,Retail Food,8,2,0,0,0,8,16,16,,0.01
Pop tart,Food,Bakery,5,24,0,0,1.5,4.94,120,118.5,,0.06
Potter's Flat Breads,Retail,Retail Food,15,11,0,0,0,15,165,165,,0.09
Pound Cake,Food,Bakery,5,25,0,0,0,5,125,125,,0.07
Pra Morandina Valpolicella,Wine,PM Wine,33,16,0,0,0,33,528,528,,0.29
Pra Otto,Wine,PM Wine,22,6,0,0,0,22,132,132,,0.07
Pumpkin Spice Maple Syrup,Retail,Retail Food,16,5,0,0,0,16,80,80,,0.04
Pumpkin Surprize Ball,Retail,Retail Merch,24,4,0,0,0,24,96,96,,0.05
Ramona Sparkling Rose,Wine,PM Wine,26,3,0,0,0,26,78,78,,0.04
Ranger Station Candle,Retail,Retail Merch,40,27,0,0,0,40,1080,1080,,0.59
Ratatouille,Food,Entrees,24,1,0,0,0,24,24,24,,0.01
Rayos Uva Olivier Riviere Vinos,Wine,PM Wine,34,3,0,0,0,34,102,102,,0.06
R/C Cola,Beverage,NA Beverage,3,2,0,0,0,3,6,6,,0
Resin Napkin Rings,Retail,Retail Merch,7,53,0,0,0,7,371,371,,0.2
Roast Beef,Food,Jazz,18,1,0,0,0,18,18,18,,0.01
Roast Beef Sandwich,Food,Soup & Sandwiches,13,20,0,0,1.3,12.94,260,258.7,,0.14
Roast Chicken Sandwich,Food,Soup & Sandwiches,13,406,0,0,100.75,12.75,5278,5177.25,,2.82
Roasted Chicken for two,Food,Frozen,28,15,0,0,0,27,405,405,,0.22
Ronchi Di Cialla,Wine,PM Wine,40,2,0,0,20,30,80,60,,0.03
Root 42 Soda,Beverage,NA Beverage,3,5,0,0,0,3,15,15,,0.01
Root Beer,Beverage,NA Beverage,3,4,0,0,0,3,12,12,,0.01
Root Beer Maine Root Soda,Beverage,NA Beverage,3,3,0,0,0,3,9,9,,0
Rosso Puglia,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.05
Rotating Salad,Food,Soup & Sandwiches,18,80,0,0,13.5,17.83,1440,1426.5,,0.78
Rotating Sandwich,Food,Soup & Sandwiches,13,147,0,0,19.5,12.87,1911,1891.5,,1.03
rotating - tandem,Coffee,Coffee,20,26,0,0,20,19.23,520,500,,0.27
Ruby Apricot - Marmalade Grows,Retail,Retail Food,9,19,0,0,0,9,171,171,,0.09
Runamok Syrup Sugarmaker Cut,Retail,Retail Food,18,2,0,0,0,18,36,36,,0.02
Safety Matches,Retail,Retail Merch,21,5,0,0,0,21,105,105,,0.06
Saint Nick's Piper - Ranger Station,Retail,Christmas,40,5,0,0,0,40,200,200,,0.11
Salchichon Iberico,Retail,Retail Food,18,3,0,0,0,18,54,54,,0.03
SALT & TWINE - Prosciutto,Food,Retail Food,9,11,0,0,10.8,8.02,99,88.2,,0.05
SALT & TWINE - Salted Fennel,Retail,Retail Food,9,13,0,0,0,9,117,117,,0.06
Sandlands Red Table Wine,Wine,PM Wine,40,1,0,0,0,40,40,40,,0.02
Santa's Camper - Maeve,Retail,Christmas,16,7,0,0,0,14.29,100,100,,0.05
Sardine Cards,Retail,Retail Merch,4,6,0,0,0,4,24,24,,0.01
sardines matches,Retail,Retail Merch,13,5,0,0,0,13,65,65,,0.04
Sausage - Blueberry,Retail,Frozen,30,10,0,0,0,30,300,300,,0.16
Sausage - Jalapeno,Retail,Frozen,18,2,0,0,0,18,36,36,,0.02
Sausage - Mild Pork,Retail,Frozen,24,6,0,0,0,24,144,144,,0.08
Sausage - Sweet Italian,Retail,Frozen,18,1,0,0,0,18,18,18,,0.01
Sea Lover's Cookbook,Retail,Retail Merch,27.95,1,0,0,0,27.95,27.95,27.95,,0.02
Senate Bean Soup,Food,Frozen,22,8,0,0,0,22,176,176,,0.1
SHARE Everything Crackers,Retail,Retail Food,12,46,0,0,1.2,11.97,552,550.8,,0.3
SHARE Plainish Sourdough Crackers,Food,Retail Food,12,7,0,0,0,12,84,84,,0.05
SHARE Zaatar Crackers,Food,Retail Food,12,15,0,0,0,12,180,180,,0.1
Shell - Isatopia Card,Retail,Retail Merch,7,2,0,0,0,7,14,14,,0.01
Shepherd's Pie,Food,Frozen,38,48,0,0,0,38,1824,1824,,0.99
Shortrib,Food,Entrees,38,1,0,0,0,38,38,38,,0.02
Sirloin Chucktown Acres,Food,Frozen,42,3,0,0,0,42,126,126,,0.07
Small Matchboxes,Retail,Retail Merch,13,9,0,0,19.5,10.83,117,97.5,,0.05
Sm Saratoga Water,Beverage,NA Beverage,4,147,0,0,0.8,3.99,588,587.2,,0.32
Sm Sparkling Saratoga,Beverage,NA Beverage,4,23,0,0,2.4,3.9,92,89.6,,0.05
Sm Sparkling - Saratoga,Beverage,NA Beverage,4,22,0,0,2,3.91,88,86,,0.05
Sockerbit SPOOKY Gummy Mix,Food,Fall,12,27,189,100,0,11.56,312,312,,0.17
Soellner Gruner Toni Veltliner,Wine,PM Wine,24,7,0,0,2.4,23.66,168,165.6,,0.09
Sorgente Prosecco,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.02
Sparkling Apple Juice,Retail,NA Beverage,5,26,0,0,1,4.96,130,129,,0.07
SQIRL Strawberry Rhubarb Fruit Spread,Retail,Retail Food,16,2,0,0,0,16,32,32,,0.02
Square matchbox,Retail,Retail Merch,15,10,0,0,1.5,14.85,150,148.5,,0.08
Star Ornament,Retail,Christmas,28,2,0,0,0,28,56,56,,0.03
Star Ornament - Knit,Retail,Christmas,28,1,0,0,0,28,28,28,,0.02
Strawberry Juice,Beverage,NA Beverage,8,2,0,0,0,8,16,16,,0.01
Sugar plum surprise ball,Retail,Christmas,14,27,0,0,8.4,13.69,378,369.6,,0.2
Sugar Roses & Flowers,Food,Valentine,20,2,0,0,0,20,40,40,,0.02
Sunday Suppers Recipes + Gatherings,Retail,Retail Merch,37.99,2,0,0,19,28.49,75.98,56.98,,0.03
Sun Lamp,Retail,Coffee,20,2,0,0,0,20,40,40,,0.02
Surprise Party Legally Addictive,Retail,Retail Food,9,14,0,0,0.9,9.51,134,133.1,,0.07
Swedish Candy Canes,Retail,Christmas,5,2,0,0,4,3,10,6,,0
Sweet Enough: a Dessert Cookbook by Alison Roman,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.02
Sweet potato chorizo,Food,Retail Food,14,21,0,0,1.4,13.93,294,292.6,,0.16
swimmer matches,Retail,Retail Merch,13,2,0,0,0,13,26,26,,0.01
Table Cards Hester & Cook,Retail,Retail Merch,16,9,0,0,0,16,144,144,,0.08
Table for Two,Retail,Retail Merch,25,2,0,0,0,25,50,50,,0.03
"Table Runner ""dinner party""",Retail,Retail Merch,35,5,0,0,0,35,175,175,,0.1
Tahini Date & Cacao Nib Granola - Sweet Deliverance,Retail,Retail Food,18,13,0,0,0,16.31,212,212,,0.12
TALL Guzzini Cups,Retail,Retail Merch,8,4,0,0,0,8,32,32,,0.02
TANDEM - time and temp,Retail,Coffee,22,3,0,0,0,22,66,66,,0.04
Taper Candles Color Block,Retail,Retail Merch,17,12,0,0,0,17,204,204,,0.11
Taper Candles - Greentree,Retail,Retail Merch,16,17,0,0,1.6,15.91,272,270.4,,0.15
Taper Candles Merida,Retail,Retail Merch,12,1,0,0,0,12,12,12,,0.01
Tarts Anon,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.02
Tea,Coffee,Coffee,4,44,0,0,3,3.93,176,173,,0.09
Tea Tin Fete de Versailles,Beverage,Valentine,22,3,0,0,0,22,66,66,,0.04
Tea Tin Marie Antoinette,Retail,Valentine,32,3,0,0,0,32,96,96,,0.05
Thai Beef Curry,Food,Frozen,38,47,0,0,0,37.91,1782,1782,,0.97
Thank you card,Retail,Retail Merch,6,5,0,0,0,6,30,30,,0.02
The Cookie That Changed My Life,Retail,Retail Merch,40,1,0,0,20,20,40,20,,0.01
The Cook's Atelier,Retail,Retail Merch,55,4,0,0,0,55,220,220,,0.12
The Dinner Party,Retail,Retail Merch,42,2,0,0,0,42,84,84,,0.05
The Dinner Party Project by Natasha Feldman cookbook,Retail,Retail Merch,40,1,0,0,0,40,40,40,,0.02
The Four Horsemen Food & Wine for Good Times,Retail,Retail Merch,45,2,0,0,49.5,20.25,90,40.5,,0.02
The Lost Kitchen,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.02
The Moosewood Cookbook,Retail,Retail Merch,32.5,2,0,0,0,32.5,65,65,,0.04
The Pizza Bible,Retail,Retail Merch,29.99,1,0,0,0,29.99,29.99,29.99,,0.02
Thierry Germain Domaine Des Roches Neuves Saumur Champigny Cuvee Domaine,Wine,PM Wine,40,3,0,0,20,33.33,120,100,,0.05
Tiberio Cerasuolo,Wine,PM Wine,40,3,0,0,0,40,120,120,,0.07
Tiki Cocktails 180+ Dreamy Drinks and Luau-inspired Libations,Retail,Retail Merch,24.95,2,0,0,0,24.95,49.9,49.9,,0.03
Tinsel Rolls,Retail,Christmas,6,5,0,0,0,6,30,30,,0.02
TLO Matcha Lemonade,Beverage,NA Beverage,7,9,0,0,0.7,6.92,63,62.3,,0.03
TLO Pandan Coconut,Beverage,NA Beverage,7,13,0,0,0,7,91,91,,0.05
TLO Vietnamese Lemonade,Beverage,NA Beverage,7,11,0,0,0.7,6.94,77,76.3,,0.04
Tomato Soup,Food,Frozen,22,9,0,0,2.2,21.76,198,195.8,,0.11
Tomato Soup small,Food,Soup & Sandwiches,12,33,0,0,0,12,396,396,,0.22
TOYO Toolbox,Retail,Retail Merch,70,1,0,0,0,70,70,70,,0.04
Train Matches,Retail,Christmas,22,4,0,0,0,22,88,88,,0.05
Trillium Fort Point IPA,Beer,PM Beer,20,3,0,0,0,20,60,60,,0.03
Trillium Melcher Street IPA,Beer,PM Beer,22,6,0,0,0,21,126,126,,0.07
Tumeric and Super Seed Granola,Retail,Retail Food,18,2,0,0,0,18,36,36,,0.02
Turkey and the Wolf Flavor Trippin' in New Orleans [a Cookbook],Retail,Retail Merch,30,4,0,0,0,30,120,120,,0.07
Turkey Sandwich,Food,Soup & Sandwiches,13,468,0,0,67.6,12.86,6084,6016.4,,3.28
VANDY - Herbs de Provence,Retail,Retail Food,16,32,0,0,3.2,15.9,512,508.8,,0.28
VANDY - Original,Retail,Retail Food,16,70,0,0,18.4,15.74,1120,1101.6,,0.6
Vandy Smokehouse BBQ,Food,Retail Food,16,22,0,0,0,16,352,352,,0.19
Vegetable Minestrone,Food,Frozen,22,4,0,0,0,22,88,88,,0.05
VESSEL PILLAR - GREENTREE HOME,Retail,Retail Merch,44,1,0,0,0,45,45,45,,0.02
Ve Ve Vinho Verde,Wine,PM Wine,22,11,0,0,0,22,242,242,,0.13
Via Alpina Pinot Grigio,Wine,PM Wine,25,11,0,0,0,25,275,275,,0.15
Walter Scott Pinot Noir,Wine,Cave De PM,76,3,0,0,0,76,228,228,,0.12
Watering Can Cocktail Napkins,Retail,Retail Merch,48,3,0,0,0,34,102,102,,0.06
Whipped Honey,Retail,Retail Food,18,14,0,0,5.4,17.61,252,246.6,,0.13
Whipped ricotta,Food,Dips,12,179,0,0,18,11.9,2148,2130,,1.16
White Chicken Chili LARGE,Food,Soup & Sandwiches,22,1,0,0,0,22,22,22,,0.01
White Loaf,Food,Bread,14,2,0,0,0,14,28,28,,0.02
Wishie Fishies,Retail,Retail Merch,14,3,0,0,0,14,42,42,,0.02
Ziti w Bolognese,Food,Frozen,36,3,0,0,0,36,108,108,,0.06
Zorro Pecan Bark,Food,Retail Food,18,1,0,0,0,18,18,18,,0.01
Totals:,,,,24881,189,100,2994.07,7.37,186487.48,183493.41,,100
