Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Placemats Gingerbread,Retail,Christmas,33,3,0,0,3.3,31.9,99,95.7,,0.07
Playing Cards,Retail,Retail Merch,15,4,0,0,0,15,60,60,,0.05
Pm Bumper Sticker,Retail,PM Merchandise,5,3,0,0,0,5,15,15,,0.01
PM Sweatshirt,Retail,PM Merchandise,58,4,0,0,78.1,51.48,284,205.9,,0.16
Pm tumbler,Retail,PM Merchandise,40,7,0,0,60,31.43,280,220,,0.17
POMMERY MUSTARD,Retail,Retail Food,25,3,0,0,0,24.67,74,74,,0.06
Pommery Mustard w Cognac,Retail,Retail Merch,24,3,0,0,0,24,72,72,,0.05
Pop-Chips Truffle,Retail,Retail Food,8,4,0,0,4,7,32,28,,0.02
Pop-Corn Truffle,Retail,Retail Food,8,2,0,0,0,8,16,16,,0.01
Pop tart,Food,Bakery,5,24,0,0,1.5,4.94,120,118.5,,0.09
Potter's Flat Breads,Retail,Retail Food,15,6,0,0,0,15,90,90,,0.07
Pound Cake,Food,Bakery,5,25,0,0,0,5,125,125,,0.1
Pra Morandina Valpolicella,Wine,PM Wine,33,11,0,0,0,33,363,363,,0.28
Pra Otto,Wine,PM Wine,22,4,0,0,0,22,88,88,,0.07
Pumpkin Spice Maple Syrup,Retail,Retail Food,16,5,0,0,0,16,80,80,,0.06
Pumpkin Surprize Ball,Retail,Retail Merch,24,4,0,0,0,24,96,96,,0.07
Ramona Sparkling Rose,Wine,PM Wine,26,3,0,0,0,26,78,78,,0.06
Ratatouille,Food,Entrees,24,1,0,0,0,24,24,24,,0.02
Rayos Uva Olivier Riviere Vinos,Wine,PM Wine,34,3,0,0,0,34,102,102,,0.08
R/C Cola,Beverage,NA Beverage,3,2,0,0,0,3,6,6,,0
Resin Napkin Rings,Retail,Retail Merch,7,35,0,0,0,7,245,245,,0.19
Roast Beef,Food,Jazz,18,1,0,0,0,18,18,18,,0.01
Roast Chicken Sandwich,Food,Soup & Sandwiches,13,291,0,0,81.25,12.72,3783,3701.75,,2.83
Ronchi Di Cialla,Wine,PM Wine,40,2,0,0,20,30,80,60,,0.05
Root Beer,Beverage,NA Beverage,3,4,0,0,0,3,12,12,,0.01
Rosso Puglia,Wine,PM Wine,30,2,0,0,0,30,60,60,,0.05
Rotating Salad,Food,Soup & Sandwiches,18,80,0,0,13.5,17.83,1440,1426.5,,1.09
Rotating Sandwich,Food,Soup & Sandwiches,13,42,0,0,1.3,12.97,546,544.7,,0.42
rotating - tandem,Coffee,Coffee,20,10,0,0,0,20,200,200,,0.15
Ruby Apricot - Marmalade Grows,Retail,Retail Food,9,19,0,0,0,9,171,171,,0.13
Runamok Syrup Sugarmaker Cut,Retail,Retail Food,18,2,0,0,0,18,36,36,,0.03
Safety Matches,Retail,Retail Merch,21,5,0,0,0,21,105,105,,0.08
Saint Nick's Piper - Ranger Station,Retail,Christmas,40,5,0,0,0,40,200,200,,0.15
Salchichon Iberico,Retail,Retail Food,18,3,0,0,0,18,54,54,,0.04
SALT & TWINE - Prosciutto,Food,Retail Food,9,11,0,0,10.8,8.02,99,88.2,,0.07
SALT & TWINE - Salted Fennel,Retail,Retail Food,9,13,0,0,0,9,117,117,,0.09
Santa's Camper - Maeve,Retail,Christmas,16,7,0,0,0,14.29,100,100,,0.08
Sardine Cards,Retail,Retail Merch,4,6,0,0,0,4,24,24,,0.02
sardines matches,Retail,Retail Merch,13,5,0,0,0,13,65,65,,0.05
Sausage - Blueberry,Retail,Frozen,30,5,0,0,0,30,150,150,,0.11
Sausage - Jalapeno,Retail,Frozen,18,2,0,0,0,18,36,36,,0.03
Sausage - Mild Pork,Retail,Frozen,24,2,0,0,0,24,48,48,,0.04
Sausage - Sweet Italian,Retail,Frozen,18,1,0,0,0,18,18,18,,0.01
Sea Lover's Cookbook,Retail,Retail Merch,27.95,1,0,0,0,27.95,27.95,27.95,,0.02
Senate Bean Soup,Food,Frozen,22,8,0,0,0,22,176,176,,0.13
SHARE Everything Crackers,Retail,Retail Food,12,41,0,0,1.2,11.97,492,490.8,,0.37
SHARE Zaatar Crackers,Food,Retail Food,12,13,0,0,0,12,156,156,,0.12
Shell - Isatopia Card,Retail,Retail Merch,7,1,0,0,0,7,7,7,,0.01
Shepherd's Pie,Food,Frozen,38,28,0,0,0,38,1064,1064,,0.81
Small Matchboxes,Retail,Retail Merch,13,9,0,0,19.5,10.83,117,97.5,,0.07
Sm Saratoga Water,Beverage,NA Beverage,4,111,0,0,0.4,4,444,443.6,,0.34
Sm Sparkling Saratoga,Beverage,NA Beverage,4,23,0,0,2.4,3.9,92,89.6,,0.07
Sockerbit SPOOKY Gummy Mix,Food,Fall,12,27,189,100,0,11.56,312,312,,0.24
Soellner Gruner Toni Veltliner,Wine,PM Wine,24,6,0,0,2.4,23.6,144,141.6,,0.11
Sorgente Prosecco,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.02
Sparkling Apple Juice,Retail,NA Beverage,5,26,0,0,1,4.96,130,129,,0.1
SQIRL Strawberry Rhubarb Fruit Spread,Retail,Retail Food,16,2,0,0,0,16,32,32,,0.02
Star Ornament,Retail,Christmas,28,2,0,0,0,28,56,56,,0.04
Star Ornament - Knit,Retail,Christmas,28,1,0,0,0,28,28,28,,0.02
Strawberry Juice,Beverage,NA Beverage,8,2,0,0,0,8,16,16,,0.01
Sugar plum surprise ball,Retail,Christmas,14,27,0,0,8.4,13.69,378,369.6,,0.28
Sunday Suppers Recipes + Gatherings,Retail,Retail Merch,37.99,2,0,0,19,28.49,75.98,56.98,,0.04
Sun Lamp,Retail,Coffee,20,1,0,0,0,20,20,20,,0.02
Surprise Party Legally Addictive,Retail,Retail Food,9,14,0,0,0.9,9.51,134,133.1,,0.1
Sweet Enough: a Dessert Cookbook by Alison Roman,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.03
swimmer matches,Retail,Retail Merch,13,2,0,0,0,13,26,26,,0.02
Table Cards Hester & Cook,Retail,Retail Merch,16,5,0,0,0,16,80,80,,0.06
Table for Two,Retail,Retail Merch,25,2,0,0,0,25,50,50,,0.04
"Table Runner ""dinner party""",Retail,Retail Merch,35,5,0,0,0,35,175,175,,0.13
Tahini Date & Cacao Nib Granola - Sweet Deliverance,Retail,Retail Food,18,7,0,0,0,16,112,112,,0.09
TALL Guzzini Cups,Retail,Retail Merch,8,4,0,0,0,8,32,32,,0.02
TANDEM - time and temp,Retail,Coffee,22,3,0,0,0,22,66,66,,0.05
Taper Candles Color Block,Retail,Retail Merch,17,12,0,0,0,17,204,204,,0.16
Taper Candles - Greentree,Retail,Retail Merch,16,14,0,0,0,16,224,224,,0.17
Taper Candles Merida,Retail,Retail Merch,12,1,0,0,0,12,12,12,,0.01
Tarts Anon,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.03
Tea,Coffee,Coffee,4,18,0,0,2.2,3.88,72,69.8,,0.05
Thai Beef Curry,Food,Frozen,38,47,0,0,0,37.91,1782,1782,,1.36
Thank you card,Retail,Retail Merch,6,2,0,0,0,6,12,12,,0.01
The Cookie That Changed My Life,Retail,Retail Merch,40,1,0,0,20,20,40,20,,0.02
The Cook's Atelier,Retail,Retail Merch,55,3,0,0,0,55,165,165,,0.13
The Dinner Party,Retail,Retail Merch,42,2,0,0,0,42,84,84,,0.06
The Four Horsemen Food & Wine for Good Times,Retail,Retail Merch,45,2,0,0,49.5,20.25,90,40.5,,0.03
The Moosewood Cookbook,Retail,Retail Merch,32.5,2,0,0,0,32.5,65,65,,0.05
The Pizza Bible,Retail,Retail Merch,29.99,1,0,0,0,29.99,29.99,29.99,,0.02
Thierry Germain Domaine Des Roches Neuves Saumur Champigny Cuvee Domaine,Wine,PM Wine,40,3,0,0,20,33.33,120,100,,0.08
Tiberio Cerasuolo,Wine,PM Wine,40,2,0,0,0,40,80,80,,0.06
Tiki Cocktails 180+ Dreamy Drinks and Luau-inspired Libations,Retail,Retail Merch,24.95,2,0,0,0,24.95,49.9,49.9,,0.04
Tinsel Rolls,Retail,Christmas,6,5,0,0,0,6,30,30,,0.02
Tomato Soup,Food,Frozen,22,9,0,0,2.2,21.76,198,195.8,,0.15
Train Matches,Retail,Christmas,22,4,0,0,0,22,88,88,,0.07
Turkey and the Wolf Flavor Trippin' in New Orleans [a Cookbook],Retail,Retail Merch,30,4,0,0,0,30,120,120,,0.09
Turkey Sandwich,Food,Soup & Sandwiches,13,362,0,0,66.3,12.82,4706,4639.7,,3.54
VANDY - Herbs de Provence,Retail,Retail Food,16,32,0,0,3.2,15.9,512,508.8,,0.39
VANDY - Original,Retail,Retail Food,16,59,0,0,18.4,15.69,944,925.6,,0.71
Vegetable Minestrone,Food,Frozen,22,4,0,0,0,22,88,88,,0.07
VESSEL PILLAR - GREENTREE HOME,Retail,Retail Merch,44,1,0,0,0,45,45,45,,0.03
Ve Ve Vinho Verde,Wine,PM Wine,22,6,0,0,0,22,132,132,,0.1
Via Alpina Pinot Grigio,Wine,PM Wine,25,6,0,0,0,25,150,150,,0.11
Walter Scott Pinot Noir,Wine,Cave De PM,76,1,0,0,0,76,76,76,,0.06
Watering Can Cocktail Napkins,Retail,Retail Merch,48,3,0,0,0,34,102,102,,0.08
Whipped Honey,Retail,Retail Food,18,9,0,0,5.4,17.4,162,156.6,,0.12
Whipped ricotta,Food,Dips,12,108,0,0,15.6,11.86,1296,1280.4,,0.98
White Chicken Chili LARGE,Food,Soup & Sandwiches,22,1,0,0,0,22,22,22,,0.02
White Loaf,Food,Bread,14,2,0,0,0,14,28,28,,0.02
Ziti w Bolognese,Food,Frozen,36,3,0,0,0,36,108,108,,0.08
Totals:,,,,17926,189,100,2461.82,7.3,133405.21,130943.39,,100
