Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Hopscotch Soda,Beverage,NA Beverage,3,3,0,0,0,3,9,9,,0.02
Hot Chocolate,Beverage,Coffee,5,6,0,0,0,5,30,30,,0.06
Hot Girl Pickles Bread and Butter Chips,Food,Retail Food,14,4,0,0,0,14,56,56,,0.11
Hot Girl Pickles Honey Harissa,Food,Retail Food,14,8,0,0,0,14,112,112,,0.21
Hot Girl Pickles Original Dill,Retail,Retail Food,14,12,0,0,0,14,168,168,,0.32
Humble Forager Luminous Horizon,Beer,PM Beer,20,1,0,0,0,20,20,20,,0.04
Jean Vesselle Champagne,Wine,Cave De PM,80,4,0,0,0,80,320,320,,0.61
JK Carriere Pinot Noir,Wine,PM Wine,40,2,0,0,0,40,80,80,,0.15
Jolie-Laide Glou D'etat Red Blend,Wine,PM Wine,34,3,0,0,0,34,102,102,,0.19
Kombucha Ginger Hibiscus,Beverage,NA Beverage,6.5,13,0,0,1.3,6.4,84.5,83.2,,0.16
Kombucha Pear,Beverage,NA Beverage,6.5,21,0,0,0.65,6.47,136.5,135.85,,0.26
Kombucha Yuzu,Beverage,NA Beverage,6.5,17,0,0,5.2,6.19,110.5,105.3,,0.2
Lady Joseph Crackers,Retail,Retail Food,11,5,0,0,0,11,55,55,,0.1
L'Alpage Chasselas,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.17
Land Of Saints Chardonnay Santa Barbara,Wine,PM Wine,30,1,0,0,15,15,30,15,,0.03
Lange Sea Salt Pure Flake,Food,Retail Food,25,9,0,0,0,25,225,225,,0.43
Large Crow Canyon Plate,Retail,Retail Merch,20,4,0,0,0,20,80,80,,0.15
Latte,Coffee,Coffee,6,754,0,0,52.8,5.93,4524,4471.2,,8.51
Le Bon Garcon - Classic Sea Salt Caramels,Retail,Retail Food,28,6,0,0,0,28,168,168,,0.32
Le Bon Garcon - Honey Lavender Caramels,Retail,Retail Food,28,2,0,0,0,28,56,56,,0.11
Le Bon Garcon - Strawberry Sakura Caramels,Retail,Retail Food,28,6,0,0,14,25.67,168,154,,0.29
Les Athletes du Vin Chardonnay,Wine,PM Wine,26,2,0,0,0,26,52,52,,0.1
Lg Saratoga Water,Beverage,NA Beverage,8,2,0,0,0,8,16,16,,0.03
Long Matchbox,Retail,Retail Merch,23,3,0,0,0,23,69,69,,0.13
Lorenza Rosé,Wine,PM Wine,30,8,0,0,0,30,240,240,,0.46
Maeve Bon Bon Box,Retail,Valentine,24,4,0,0,0,24,96,96,,0.18
MALDON - Pink Salt,Food,Retail Food,11,1,0,0,0,11,11,11,,0.02
Mandarin Soda Maine Root,Beverage,NA Beverage,3,2,0,0,0,3,6,6,,0.01
Marchesi di Gresy Barbaresco Martinenga,Wine,Cave De PM,60,1,0,0,0,60,60,60,,0.11
Marine Layer Pinot Noir,Wine,PM Wine,76,2,0,0,0,76,152,152,,0.29
MASA Tortilla Chips COBANERO,Retail,Retail Food,16,33,0,0,8,15.76,528,520,,0.99
MASA - Tortilla Chips LIME,Retail,Retail Food,16,1,0,0,0,16,16,16,,0.03
MASA Tortilla Chips Traditional,Retail,Retail Food,16,34,0,0,0,16,544,544,,1.04
Matcha Latte,Coffee,Coffee,8,188,0,0,21.6,7.89,1504,1482.4,,2.82
Matcha Powder Holy City,Retail,Retail Food,28,3,0,0,0,28,84,84,,0.16
Meatloaf with Brussels,Food,Frozen,36,4,0,0,0,36,144,144,,0.27
Merci La Vie Cabernet Franc,Wine,PM Wine,38,3,0,0,0,38,114,114,,0.22
Merci t-shirt,Retail,PM Merchandise,38,7,0,0,0,45.14,316,316,,0.6
Mexican Cola Maine Root Soda,Beverage,NA Beverage,3,4,0,0,0.3,2.93,12,11.7,,0.02
Mini Sockerbit Flowers and bunnies,Food,Retail Food,5,13,0,0,0,5,65,65,,0.12
Mini Sockerbit Flowers and bunnies,Retail,Retail Food,5,1,0,0,5.6,8.4,14,8.4,,0.02
Mini Strawberry sockerbit,Retail,Retail Food,5,18,0,0,0,5,90,90,,0.17
Muffin,Food,Bakery,5,159,0,0,4.5,4.97,795,790.5,,1.5
MY DRAP - SMALL NAPKIN ROLL DARK GREY,Retail,Retail Merch,20,1,0,0,0,20,20,20,,0.04
Night Chocolates Maeve,Retail,Valentine,14,7,0,0,0,14,98,98,,0.19
Notelet Archivist card,Retail,Retail Merch,5,19,0,0,0,5,95,95,,0.18
One Trick Pony Crunchy Peanut Butter,Retail,Retail Food,11,3,0,0,0,11,33,33,,0.06
Open Beer,Beer,Open Items,0,4,0,0,0,22,88,88,,0.17
Open Beverage,Beverage,Open Items,0,7,0,0,0.5,4.07,29,28.5,,0.05
Open buyout,Non-taxable,Open Items,0,1,0,0,0,750,750,750,,1.43
Open Food,Food,Open Items,0,72,0,0,2.1,8,578,575.9,,1.1
Open Retail,Retail,Open Items,0,63,0,0,79.6,22.42,1492.02,1412.42,,2.69
Open Wine,Wine,Open Items,0,5,0,0,0,29.6,148,148,,0.28
Passerine Brut Blanca,Wine,PM Wine,30,7,0,0,0,30,210,210,,0.4
Pasta Salad,Food,Retail Food,10,7,0,0,1,9.86,70,69,,0.13
Peanut Butter Banana Bar Maeve,Retail,Valentine,7.5,12,0,0,0,7.5,90,90,,0.17
Pecans Milk Chocolate Covered Zorro,Retail,Retail Food,19,8,0,0,0,19,152,152,,0.29
Pecans Roasted and Salted Zorro,Retail,Retail Food,19,12,0,0,0,19,228,228,,0.43
Pecans Toffee Zorro,Retail,Retail Food,19,6,0,0,0,19,114,114,,0.22
